2020-06-13 00:13:59.941  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 00:34:59.623  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 00:35:00.051  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 00:50:52.969  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 00:51:00.209  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 01:03:31.345  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 01:13:17.260  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 01:23:16.435  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 01:33:16.631  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 01:43:16.411  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 01:44:00.557  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 02:03:33.280  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 02:04:00.603  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
2020-06-13 02:14:17.486  INFO 40679 --- [scheduling-1] com.sample.component.ArticleStatistics   : [ArticleTypeStatistics(articleType=原创, articleNum=5), ArticleTypeStatistics(articleType=string, articleNum=1), ArticleTypeStatistics(articleType=转载, articleNum=1)]
